accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-0.26092512,0.008788608,0
-0.256530816,0.007965504,0
-0.256530816,0.00823968,0
-0.25268544,0.008239104,0
-0.252136512,0.008240256,0
-0.247741056,0.007965504,0
-0.247742208,0.007964352,0
-0.244995264,0.007965504,0
-0.241698816,0.007690176,0
-0.241149888,0.007965504,0
-0.23840352,0.007415424,0
-0.235657152,0.007964928,0
-0.234008064,0.007141248,0
-0.231811776,0.007690752,0
-0.23016384,0.007690176,0
-0.226867392,0.006866496,0
-0.22576896,0.007416,0
-0.223022592,0.007415424,0
-0.220825152,0.006866496,0
-0.218628288,0.007141248,0
-0.217528704,0.006866496,0
-0.214233984,0.007140672,0
-0.212584896,0.00659232,0
-0.209839104,0.00686592,0
-0.208191168,0.006867072,0
-0.205993152,0.006316992,0
-0.203796864,0.00686592,0
-0.201049344,0.006317568,0
-0.199951488,0.006591744,0
-0.197754048,0.006317568,0
-0.1944576,0.006041664,0
-0.19281024,0.006043392,0
-0.191162304,0.006316416,0
-0.188964864,0.006317568,0
-0.18621792,0.005767488,0
-0.18457056,0.006042816,0
-0.181823616,0.005767488,0
-0.18017568,0.00604224,0
-0.177978816,0.005219136,0
-0.1757808,0.00604224,0
-0.173584512,0.00521856,0
-0.171386496,0.005492736,0
-0.168640128,0.00576864,0
-0.16754112,0.004943232,0
-0.165344832,0.005768064,0
-0.162047808,0.004943808,0
-0.160950528,0.005217984,0
-0.158751936,0.004944384,0
-0.156005568,0.004943808,0
-0.154358208,0.004943808,0
-0.151611264,0.00521856,0
-0.149963328,0.00439488,0
-0.147766464,0.004943232,0
-0.145568448,0.00439488,0
-0.143371584,0.004669056,0
-0.14117472,0.004394304,0
-0.138976704,0.004944384,0
-0.137329344,0.0038448,0
-0.134032896,0.00439488,0
-0.132385536,0.004394304,0
-0.131286528,0.0038448,0
-0.127990656,0.00439488,0
-0.125793216,0.003845376,0
-0.124145856,0.003845376,0
-0.12194784,0.0038448,0
-0.119202048,0.003845376,0
-0.11810304,0.004120128,0
-0.114807168,0.003020544,0
-0.113159232,0.004120704,0
-0.11151072,0.003020544,0
-0.108216,0.003845376,0
-0.107665344,0.003021696,0
-0.103272192,0.003570048,0
-0.10327104,0.003021696,0
-0.09942624,0.003570048,0
-0.098877312,0.002472192,0
-0.095580288,0.003295872,0
-0.093384576,0.00302112,0
-0.092284992,0.003021696,0
-0.08898912,0.002196864,0
-0.087341184,0.003295872,0
-0.08514432,0.002472192,0
-0.082946304,0.002471616,0
-0.080750016,0.002746944,0
-0.078552,0.002471616,0
-0.07690464,0.00219744,0
-0.074157696,0.002196864,0
-0.07195968,0.002472192,0
-0.070313472,0.00219744,0
-0.067565376,0.001922688,0
-0.065368512,0.001922112,0
-0.064270656,0.00219744,0
-0.060973632,0.001922688,0
